Description_Of_Outage,Total_Energy_Lost,Facility_Code,Participant_Code,rank
Turbine vibrations,9.0,MELK_G7,MELK,248
West Boiler feed pump Outage,8.0,MELK_G7,MELK,249
operator was delayed in initiating ramp up ,7.9,MELK_G7,MELK,250
Loss of a mill,7.5,MELK_G7,MELK,251
"Boiler feed pump, condenser and cooling tower performance",7.0,MELK_G7,MELK,252
Coal feeder swap,6.8,MELK_G7,MELK,253
Coal issue,6.7,MELK_G7,MELK,254
Mill Issue,6.1,MELK_G7,MELK,255
Baghouse issue resulting in restricted load,5.0,MELK_G7,MELK,256
"Baghouse issue resulting in restricted load
",5.0,MELK_G7,MELK,256
Rotary Air Heater seals,4.7,MELK_G7,MELK,258
Pro-rata partial forced outage due to PF leak on mill. Unit reduced to three mill operation.,4.3,MELK_G7,MELK,259
Boiler feedpump capacity,4.0,MELK_G7,MELK,260
North Boiler feed pump oil leak,4.0,MELK_G7,MELK,260
Turbine control limitations,4.0,MELK_G7,MELK,260
Turbine limitations,4.0,MELK_G7,MELK,260
Commissioning ,0.0,MELK_G7,MELK,264
Mill minor maintenance,0.0,MELK_G7,MELK,264
Precipitator Isokinetic and Efficiency Testing,0.0,MELK_G7,MELK,264
